GRD Ref,Parent,Source Title,Short Source Title,Source Description,Archival Ref,Archive,Type
BAS7/229,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 229,,Book
BAS7/229n,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 229n,,Book
BAS7/42,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 42,,Book
BAS7/58,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 58,,Book
BAS7/58-9,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 58-9,,Book
BAS7/61,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 61,,Book
BAS7/62,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 62,,Book
"BAS7/62,63",The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,"p. 62, 63",,Book
BAS7/63,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 63,,Book
BAS7/64,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 64,,Book
BAS7/65,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 65,,Book
BAS7/72,The Bradford Antiquary vol. 7,The Bradford Antiquary vol. 7,Bradford Antiquary vol. 7,,p. 72,,Book
BAS8/5,The Bradford Antiquary vol. 8,The Bradford Antiquary vol. 8,Bradford Antiquary vol. 8,,p. 5,,Book
BAS8/7,The Bradford Antiquary vol. 8,The Bradford Antiquary vol. 8,Bradford Antiquary vol. 8,,p. 7,,Book
BAS8/8,The Bradford Antiquary vol. 8,The Bradford Antiquary vol. 8,Bradford Antiquary vol. 8,,p. 8,,Book
BAS9/273,The Bradford Antiquary vol. 9,The Bradford Antiquary vol. 9,Bradford Antiquary vol. 9,,p. 273,,Book
BCP,,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,,,Book
BCP146,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).",Bridlington constables' accounts,Bridlington constables' accounts,,CR.55,Bayle Museum Bridlington ,Archival
BCP160,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).",Bridlington constables' accounts,Bridlington constables' accounts,,CR.55,Bayle Museum Bridlington ,Archival
BCP165,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).",Bridlington Pier Repairs,Bridlington Pier Repairs,,"S.P. Hen. VIII. XIV. ii, 643 ",The National Archives ,Archival
BCP180,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Records of Bridlington Harbour Commissioners, seventeenth century",Bridlington Harbour commissioners,,TC.245.2,Bayle Museum Bridlington ,Archival
BCP181,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Records of Bridlington Harbour Commissioners, seventeenth century",Bridlington Harbour commissioners,,TC.245.2,Bayle Museum Bridlington ,Archival 
BCP194,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).",Quarter Sessions Order Book A,Quarter Sessions Order Book A,,QSV/1/2,East Riding Archives,Archival 
BCP195,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).",Quarter Sessions Order Book A,Quarter Sessions Order Book A,,QSV/1/2,East Riding Archives,Archival 
BCP227,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Market searchers, 11 August 1666","Market searchers, 11 August 1666",,TC,Bayle Museum Bridlington ,Archival 
"BCP231,249","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 231; 249,,Book
BCP238,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 238,,Book
BCP243,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 243,,Book
BCP273,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 273,,Book
BCP274,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 274,,Book
BCP278,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 278,,Book
BCP279,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 279,,Book
BCP282,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 282,,Book
BCP283,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 283,,Book
BCP302,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 302,,Book
BCP317,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Purvis, Bridlington Charters",,p. 317,,Book
BCP41,"J. S. Purvis (ed.), Bridlington Charters, Court Rolls and Papers XVI-XIXth Century, (London, 1926).","Translation of the original Latin deed by Letters Patent of Queen Elizabeth, ad. 1595, leasing Bridlington to twelve lords","Letters Patent leasing Bridlington to twelve lords, 1595",,TC,Bayle Museum Bridlington ,Archival 
BJHK,,"B. Jennings (ed.), A History of Harrogate and Knaresborough (Huddersfield, 1970).","Jennings, Harrogate and Knaresborough",,,,Book
BJHK50,"B. Jennings (ed.), A History of Harrogate and Knaresborough (Huddersfield, 1970).","Knaresborough manor court roll, with forest and honour",Knaresborough manor court roll,,DL 30/485/4,The National Archives,Archival
BJHK89,"B. Jennings (ed.), A History of Harrogate and Knaresborough (Huddersfield, 1970).","Knaresborough manor court roll, with forest and honour",Knaresborough manor court roll,,DL 30/485/13,The National Archives,Archival
BM46,,"M.C. Gill, ‘The Grassington Mines’, British Mining, vol. 46 (Keighley, 1993).","Gill, Grassington Mines",,,,Book
BM46/13,"M.C. Gill, ‘The Grassington Mines’, British Mining, vol. 46 (Keighley, 1993).","M.C. Gill, ‘The Grassington Mines’, British Mining, vol. 46 (Keighley, 1993).","Gill, Grassington Mines",,p. 13,,Book
BN2,,"B.H. Nuttall, Life at Thornhill Hall in the Reign of Charles I (Leeds, 1986).","Nuttall, Thornhill Hall",,,,Book
BN2/14,"B.H. Nuttall, Life at Thornhill Hall in the Reign of Charles I (Leeds, 1986).",Household accounts of the Savile family of Thornhill and Rufford: entry for 19 January 1629,Savile famile household accounts January 1629,,DD/SR/A4/6,Nottinghamshire Archives,Archival
BN2/27,"B.H. Nuttall, Life at Thornhill Hall in the Reign of Charles I (Leeds, 1986).","Household account book of the Savile family of Thornhill and Rufford, 1629-1634",Savile account book 1629-1634,,DP/77/1,Nottinghamshire Archives,Archival
BN2/28,"B.H. Nuttall, Life at Thornhill Hall in the Reign of Charles I (Leeds, 1986).","Household account book of the Savile family of Thornhill and Rufford, 1629-1634",Savile account book 1629-1634,,DP/77/1,Nottinghamshire Archives,Archival
BN2/29,"B.H. Nuttall, Life at Thornhill Hall in the Reign of Charles I (Leeds, 1986).",Household and estate accounts of the Savile family of Thornhill and Rufford: entry for 4 February 1642,Savile family household and estate accounts 1642,,DD/SR/A4/25,Nottinghamshire Archives,Archival
BTD,," A.F. Leach, Beverley Town Documents (London, 1900).","Leach, Beverley Town Documents",,,,Book
BTD57," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD111," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
"BTD111,113"," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD114," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD115," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD122," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD137," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD2," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD21," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD36," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD41," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD48," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD51," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD55," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD57," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD58," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTD9," A.F. Leach, Beverley Town Documents (London, 1900).","The Great Guild Book of Beverley, c.1409-1589",Great Guild Book c.1409-1589,,BC/II/3/1 ,East Riding Archives,Archival
BTDliv," A.F. Leach, Beverley Town Documents (London, 1900)."," A.F. Leach, Beverley Town Documents (London, 1900).","Leach, Beverley Town Documents",,p. liv,,Book
CAM,,"D.W. Crossley, Sidney Ironworks Accounts 1541-73, Camden Fourth Series, vol. 15, Royal Historical Society (1975).","Crossley, Sidney Ironworks ",,,,Book
CAM15/36,"D.W. Crossley, Sidney Ironworks Accounts 1541-73, Camden Fourth Series, vol. 15, Royal Historical Society (1975).","D.W. Crossley, Sidney Ironworks Accounts 1541-73, Camden Fourth Series, vol. 15, Royal Historical Society (1975).","Crossley, Sidney Ironworks ",,p. 36,,Book
CAM15/184,"D.W. Crossley, Sidney Ironworks Accounts 1541-73, Camden Fourth Series, vol. 15, Royal Historical Society (1975).","Summary account for Robertsbridge furnace and forge and Panningridge furnace, 1563",Robertsbridge furnace account 1563,,U1475 B3/10 f. 4r,Kent Archives,Archival
CAM15/50,"D.W. Crossley, Sidney Ironworks Accounts 1541-73, Camden Fourth Series, vol. 15, Royal Historical Society (1975).","Summary account for Robertsbridge furnace and forge and Panningridge furnace, 1542-3",Robertsbridge furnace account 1563,,U1475 B2/3 f. 4r,Kent Archives,Archival
CC,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,,,Book
CC12/1,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,pp. 6-7,,Book
CC12/2,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 7,,Book
CC14,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 7,,Book
CC2,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 2,,Book
CC21,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 10,,Book
CC22,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 11,,Book
CC27-8,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 14,,Book
CC38,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 18,,Book
CC8,,"J.C., The Compleat Collier (London, 1708).",The Compleat Collier,,p. 4,,Book
CCW,,"C.C. Webb (ed.), Churchwardens’ Accounts of St Michael, Spurriergate, York, 1518-48, 2 vols, Borthwick Texts and Calendars 20 (York, 1997).","Webb, Churchwardens' Accounts ",,PR/Y/MS/4,Borthwick Institute for Archives,Book
CCW70,"C.C. Webb (ed.), Churchwardens’ Accounts of St Michael, Spurriergate, York, 1518-48, 2 vols, Borthwick Texts and Calendars 20 (York, 1997).","Churchwardens' Accounts, St Michael Spurriergate","Webb, Churchwardens' Accounts ",York St Michael Spurriergate Churchwardens' Accounts 1518-1547,PR/Y/MS/4 f.11v,Borthwick Institute for Archives,Archival
CCW100,"C.C. Webb (ed.), Churchwardens’ Accounts of St Michael, Spurriergate, York, 1518-48, 2 vols, Borthwick Texts and Calendars 20 (York, 1997).","Churchwardens' Accounts, St Michael Spurriergate","Webb, Churchwardens' Accounts ",York St Michael Spurriergate Churchwardens' Accounts 1518-1547,PR/Y/MS/4 f.43r,Borthwick Institute for Archives,Archival
CCW102,"C.C. Webb (ed.), Churchwardens’ Accounts of St Michael, Spurriergate, York, 1518-48, 2 vols, Borthwick Texts and Calendars 20 (York, 1997).","Churchwardens' Accounts, St Michael Spurriergate","Webb, Churchwardens' Accounts ",York St Michael Spurriergate Churchwardens' Accounts 1518-1547,PR/Y/MS/4 ff.44v-45r,Borthwick Institute for Archives,Archival
CCW103,"C.C. Webb (ed.), Churchwardens’ Accounts of St Michael, Spurriergate, York, 1518-48, 2 vols, Borthwick Texts and Calendars 20 (York, 1997).","Churchwardens' Accounts, St Michael Spurriergate","Webb, Churchwardens' Accounts ",York St Michael Spurriergate Churchwardens' Accounts 1518-1547,PR/Y/MS/4 f.45v,Borthwick Institute for Archives,Archival
CCW104,"C.C. Webb (ed.), Churchwardens’ Accounts of St Michael, Spurriergate, York, 1518-48, 2 vols, Borthwick Texts and Calendars 20 (York, 1997).","Churchwardens' Accounts, St Michael Spurriergate","Webb, Churchwardens' Accounts ",York St Michael Spurriergate Churchwardens' Accounts 1518-1547,PR/Y/MS/4 ff.46v-47r,Borthwick Institute for Archives,Archival
CCW108,"C.C. Webb (ed.), Churchwardens’ Accounts of St Michael, Spurriergate, York, 1518-48, 2 vols, Borthwick Texts and Calendars 20 (York, 1997).","Churchwardens' Accounts, St Michael Spurriergate","Webb, Churchwardens' Accounts ",York St Michael Spurriergate Churchwardens' Accounts 1518-1547,PR/Y/MS/4 f.53r,Borthwick Institute for Archives,Archival
